*******************************************************************************
Revised: April 12, 2021         Earth Barycenter                              3
 
 Dynamical point:
 ---------------
 The common point about which the Earth and Moon revolve (center of mass). This
 is approximately 4671 km from the center of the Earth, or about 3/4 of the way 
 to the surface. See 399 for Earth center, or 301 for Moon center ephemeris.
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Aug 17 14:35:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth-Moon Barycenter (3)       {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Nov-29 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Nov-30 00:00:00.0000 TDB
Step-size       : 10 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Keplerian GM    : 2.9591310798525883E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2461008.500000000, A.D. 2025-Nov-29 00:00:00.0000,  1.666455261234486E-02,  9.833282486166491E-01,  3.433257724763637E-03,  1.749587520340257E+02,  2.881112956977394E+02,  2.461044308395772E+06,  9.856199901583155E-01,  3.247065293115908E+02,  3.235842225792362E+02,  9.999926792316651E-01,  1.016657109846681E+00,  3.652523321307382E+02,
2461008.506944444, A.D. 2025-Nov-29 00:10:00.0000,  1.666455396438716E-02,  9.833282495191173E-01,  3.433258299970796E-03,  1.749587810579395E+02,  2.881112597827909E+02,  2.461044308388999E+06,  9.856199867686832E-01,  3.247133806920408E+02,  3.235912618002635E+02,  9.999926815243725E-01,  1.016657113529628E+00,  3.652523333868725E+02,
2461008.513888889, A.D. 2025-Nov-29 00:20:00.0000,  1.666455531632903E-02,  9.833282504216084E-01,  3.433258874914269E-03,  1.749588100805530E+02,  2.881112238685309E+02,  2.461044308382225E+06,  9.856199833791672E-01,  3.247202320730248E+02,  3.235983010387591E+02,  9.999926838170013E-01,  1.016657117212394E+00,  3.652523346429638E+02,
2461008.520833333, A.D. 2025-Nov-29 00:30:00.0000,  1.666455666817162E-02,  9.833282513241205E-01,  3.433259449596331E-03,  1.749588391018674E+02,  2.881111879549605E+02,  2.461044308375451E+06,  9.856199799897695E-01,  3.247270834545408E+02,  3.236053402947184E+02,  9.999926861095501E-01,  1.016657120894980E+00,  3.652523358990111E+02,
2461008.527777778, A.D. 2025-Nov-29 00:40:00.0000,  1.666455801991328E-02,  9.833282522266549E-01,  3.433260024015557E-03,  1.749588681216966E+02,  2.881111520422641E+02,  2.461044308368676E+06,  9.856199766004901E-01,  3.247339348365899E+02,  3.236123795681397E+02,  9.999926884020190E-01,  1.016657124577383E+00,  3.652523371550148E+02,
2461008.534722222, A.D. 2025-Nov-29 00:50:00.0000,  1.666455937155594E-02,  9.833282531292097E-01,  3.433260598167540E-03,  1.749588971401661E+02,  2.881111161303178E+02,  2.461044308361900E+06,  9.856199732113278E-01,  3.247407862191709E+02,  3.236194188590190E+02,  9.999926906944087E-01,  1.016657128259608E+00,  3.652523384109750E+02,
2461008.541666667, A.D. 2025-Nov-29 01:00:00.0000,  1.666456072309890E-02,  9.833282540317863E-01,  3.433261172061236E-03,  1.749589261571528E+02,  2.881110802192435E+02,  2.461044308355124E+06,  9.856199698222834E-01,  3.247476376022850E+02,  3.236264581673546E+02,  9.999926929867186E-01,  1.016657131941651E+00,  3.652523396668914E+02,
2461008.548611111, A.D. 2025-Nov-29 01:10:00.0000,  1.666456207454329E-02,  9.833282549343834E-01,  3.433261745690127E-03,  1.749589551726752E+02,  2.881110443090240E+02,  2.461044308348347E+06,  9.856199664333559E-01,  3.247544889859311E+02,  3.236334974931428E+02,  9.999926952789494E-01,  1.016657135623515E+00,  3.652523409227646E+02,
