JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458348.845645,169.436054,138725.984375,20.216824
2458348.864935,169.431069,138896.656250,20.215411
2458348.884225,169.426078,139179.171875,20.213127
2458348.903515,169.421081,139366.171875,20.211592
2458348.922806,169.416077,139630.656250,20.209455
2458348.942096,169.411067,139742.765625,20.208506
2458348.961386,169.406052,140180.453125,20.205033
2458348.980676,169.401029,140127.875000,20.205362
2458348.999966,169.396001,140374.906250,20.203372
2458349.019256,169.390967,140612.265625,20.201460
2458349.038546,169.385926,140799.640625,20.199936
2458349.057836,169.380879,140972.812500,20.198523
2458349.077127,169.375827,141586.796875,20.193727
2458349.096417,169.370767,141441.890625,20.194761
2458349.115707,169.365702,141501.390625,20.194226
2458349.134997,169.360631,141742.265625,20.192301
2458349.154287,169.355554,141991.437500,20.190316
2458349.173577,169.350470,142130.984375,20.189172
2458349.192867,169.345381,142391.593750,20.187105
2458349.212157,169.340285,142612.656250,20.185343
2458349.231448,169.335183,142808.953125,20.183771
2458349.250738,169.330075,142899.828125,20.183002
2458349.270028,169.324961,143190.015625,20.180722
2458349.289318,169.319841,143517.218750,20.178166
2458349.308608,169.314715,143677.734375,20.176874
2458349.327898,169.309583,143850.812500,20.175489
2458349.347188,169.304445,144038.812500,20.173992
2458349.366478,169.299300,144196.359375,20.172727
2458349.385769,169.294150,144400.453125,20.171114
2458349.405059,169.288994,145196.984375,20.165063
2458349.424349,169.283832,144827.859375,20.167749
2458349.443639,169.278663,145013.203125,20.166282
2458349.462929,169.273489,145305.515625,20.164017
2458349.482219,169.268309,145484.781250,20.162600
2458349.501509,169.263122,145699.312500,20.160922
2458349.520799,169.257930,145941.890625,20.159038
2458349.540090,169.252732,146124.968750,20.157599
2458349.559380,169.247527,146006.437500,20.158402
2458349.578670,169.242317,146472.500000,20.154863
2458349.597960,169.237101,146763.015625,20.152634
2458349.617250,169.231879,146955.234375,20.151134
2458349.636540,169.226651,147152.796875,20.149597
2458349.655830,169.221417,147402.515625,20.147678
2458349.675120,169.216177,147511.156250,20.146800
2458349.694411,169.210931,147497.171875,20.146825
2458349.713701,169.205679,147983.296875,20.143174
2458349.732991,169.200421,148705.437500,20.137810
2458349.752281,169.195157,148505.781250,20.139191
2458349.771571,169.189888,148694.937500,20.137730
2458349.790861,169.184613,148864.984375,20.136411
2458349.810151,169.179331,149141.750000,20.134316
2458349.829441,169.174044,149278.156250,20.133245
2458349.848732,169.168751,149578.328125,20.130986
2458349.868022,169.163452,149774.046875,20.129488
2458349.887312,169.158147,149594.734375,20.130710
2458349.906602,169.152837,150193.093750,20.126298
2458349.925892,169.147520,150491.781250,20.124062
2458349.945182,169.142198,150728.343750,20.122278
2458349.964472,169.136870,150844.343750,20.121365
2458349.983762,169.131536,151107.937500,20.119391
2458350.003053,169.126196,151284.828125,20.118042
2458350.022343,169.120850,151251.750000,20.118201
2458350.041633,169.115499,151770.312500,20.114407
2458350.060923,169.110142,152176.000000,20.111430
2458350.080213,169.104779,152180.468750,20.111319
2458350.099503,169.099410,152455.437500,20.109281
2458350.118793,169.094036,152632.437500,20.107943
2458350.138083,169.088655,152783.468750,20.106790
2458350.157374,169.083269,153143.812500,20.104154
2458350.176664,169.077877,153545.046875,20.101235
2458350.195954,169.072480,153605.296875,20.100730
