JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458348.845645,169.436054,163405.671875,20.039051
2458348.864935,169.431069,117562.039062,20.396473
2458348.884225,169.426078,120296.273438,20.371432
2458348.903515,169.421081,130431.515625,20.283529
2458348.922806,169.416077,155672.531250,20.091377
2458348.942096,169.411067,186923.812500,19.892668
2458348.961386,169.406052,146188.015625,20.159472
2458348.980676,169.401029,181130.312500,19.926696
2458348.999966,169.396001,193406.828125,19.855416
2458349.019256,169.390967,151772.546875,20.118535
2458349.038546,169.385926,111714.906250,20.451162
2458349.057836,169.380879,169107.093750,20.000957
2458349.077127,169.375827,117191.132812,20.399047
2458349.096417,169.370767,139811.953125,20.207345
2458349.115707,169.365702,112287.359375,20.445301
2458349.134997,169.360631,144961.781250,20.167916
2458349.154287,169.355554,145989.171875,20.160170
2458349.173577,169.350470,198320.062500,19.827477
2458349.192867,169.345381,151059.781250,20.122944
2458349.212157,169.340285,190380.515625,19.871682
2458349.231448,169.335183,188200.921875,19.884105
2458349.250738,169.330075,130723.250000,20.279700
2458349.270028,169.324961,133200.625000,20.259238
2458349.289318,169.319841,152502.718750,20.112232
2458349.308608,169.314715,127060.429688,20.310322
2458349.327898,169.309583,115154.218750,20.417070
2458349.347188,169.304445,136953.515625,20.228758
2458349.366478,169.299300,147273.515625,20.149802
2458349.385769,169.294150,204595.843750,19.792793
2458349.405059,169.288994,134914.812500,20.244808
2458349.424349,169.283832,199543.796875,19.819783
2458349.443639,169.278663,204922.531250,19.790826
2458349.462929,169.273489,145129.343750,20.165334
2458349.482219,169.268309,119129.609375,20.379595
2458349.501509,169.263122,174258.031250,19.966584
2458349.520799,169.257930,120460.031250,20.367381
2458349.540090,169.252732,139499.515625,20.207978
2458349.559380,169.247527,129047.484375,20.292458
2458349.578670,169.242317,164071.312500,20.031672
2458349.597960,169.237101,175149.671875,19.960652
2458349.617250,169.231879,173680.015625,19.969722
2458349.636540,169.226651,170987.562500,19.986607
2458349.655830,169.221417,194234.843750,19.848123
2458349.675120,169.216177,170567.500000,19.989122
2458349.694411,169.210931,117841.875000,20.390535
2458349.713701,169.205679,163000.218750,20.038235
2458349.732991,169.200421,136356.515625,20.231938
2458349.752281,169.195157,145752.921875,20.159506
2458349.771571,169.189888,125935.046875,20.318104
2458349.790861,169.184613,143750.703125,20.174368
2458349.810151,169.179331,144726.640625,20.166943
2458349.829441,169.174044,208381.109375,19.771090
2458349.848732,169.168751,145750.718750,20.159131
2458349.868022,169.163452,205079.578125,19.788273
2458349.887312,169.158147,202200.484375,19.803545
2458349.906602,169.152837,143306.312500,20.177259
2458349.925892,169.147520,125564.054688,20.320681
2458349.945182,169.142198,174415.687500,19.963802
2458349.964472,169.136870,129295.976562,20.288725
2458349.983762,169.131536,128104.492188,20.298698
2458350.003053,169.126196,146142.437500,20.155590
2458350.022343,169.120850,161478.843750,20.047163
2458350.041633,169.115499,207783.421875,19.773346
2458350.060923,169.110142,151981.828125,20.112816
2458350.080213,169.104779,200106.671875,19.814063
2458350.099503,169.099410,212988.546875,19.746248
2458350.118793,169.094036,153754.078125,20.099993
2458350.138083,169.088655,120356.406250,20.365808
2458350.157374,169.083269,184359.796875,19.902737
2458350.176664,169.077877,126523.164062,20.311399
2458350.195954,169.072480,152437.281250,20.109018
2458350.215244,169.067077,134895.203125,20.241676
2458350.234534,169.061667,161683.046875,20.044928
2458350.253824,169.056253,165623.625000,20.018705
2458350.273114,169.050832,203251.390625,19.796348
2458350.292404,169.045406,169049.453125,19.996319
2458350.311695,169.039974,206380.640625,19.779602
2458350.330985,169.034536,195117.609375,19.840455
2458350.350275,169.029093,136282.625000,20.230016
2458350.369565,169.023644,151953.250000,20.111764
2458350.388855,169.018189,160062.359375,20.055237
2458350.408145,169.012729,142105.640625,20.184353
2458350.427435,169.007263,134993.625000,20.240020
2458350.446725,169.001791,151458.562500,20.114990
2458350.466015,168.996314,157061.296875,20.075473
2458350.485306,168.990831,214968.234375,19.734631
2458350.504596,168.985342,142921.296875,20.177746
2458350.523886,168.979848,215224.437500,19.733181
