JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458348.845645,40.241958,167144112.000000,12.555925
2458348.864935,40.242388,167143904.000000,12.555438
2458348.884225,40.242817,167144256.000000,12.554948
2458348.903515,40.243245,167145504.000000,12.554452
2458348.922806,40.243672,167143392.000000,12.553977
2458348.942096,40.244099,167141024.000000,12.553504
2458348.961386,40.244525,167141040.000000,12.553016
2458348.980676,40.244949,167139104.000000,12.552540
2458348.999966,40.245373,167139856.000000,12.552046
2458349.019256,40.245796,167139472.000000,12.551560
2458349.038546,40.246218,167137888.000000,12.551082
2458349.057836,40.246639,167135952.000000,12.550606
2458349.077127,40.247060,167137152.000000,12.550109
2458349.096417,40.247479,167135088.000000,12.549634
2458349.115707,40.247898,167136160.000000,12.549138
2458349.134997,40.248315,167134768.000000,12.548658
2458349.154287,40.248732,167134752.000000,12.548169
2458349.173577,40.249148,167132096.000000,12.547698
2458349.192867,40.249563,167132064.000000,12.547209
2458349.212157,40.249977,167130736.000000,12.546728
2458349.231448,40.250390,167131264.000000,12.546236
2458349.250738,40.250803,167129872.000000,12.545755
2458349.270028,40.251214,167127808.000000,12.545279
2458349.289318,40.251625,167127360.000000,12.544793
2458349.308608,40.252034,167126544.000000,12.544309
2458349.327898,40.252443,167127488.000000,12.543813
2458349.347188,40.252851,167125984.000000,12.543334
2458349.366478,40.253258,167124992.000000,12.542850
2458349.385769,40.253664,167123312.000000,12.542372
2458349.405059,40.254069,167123696.000000,12.541880
2458349.424349,40.254473,167122192.000000,12.541400
2458349.443639,40.254877,167122832.000000,12.540906
2458349.462929,40.255279,167122544.000000,12.540418
2458349.482219,40.255681,167120064.000000,12.539944
2458349.501509,40.256082,167118992.000000,12.539461
2458349.520799,40.256482,167118880.000000,12.538972
2458349.540090,40.256880,167117936.000000,12.538488
2458349.559380,40.257279,167118256.000000,12.537995
2458349.578670,40.257676,167117168.000000,12.537512
2458349.597960,40.258072,167115600.000000,12.537032
2458349.617250,40.258467,167114720.000000,12.536548
2458349.636540,40.258862,167114464.000000,12.536059
2458349.655830,40.259256,167114032.000000,12.535571
2458349.675120,40.259648,167115536.000000,12.535071
2458349.694411,40.260040,167112720.000000,12.534599
2458349.713701,40.260431,167111392.000000,12.534117
2458349.732991,40.260821,167111568.000000,12.533625
2458349.752281,40.261210,167109520.000000,12.533148
2458349.771571,40.261598,167110688.000000,12.532649
2458349.790861,40.261986,167110384.000000,12.532161
2458349.810151,40.262372,167108544.000000,12.531682
2458349.829441,40.262758,167106560.000000,12.531204
2458349.848732,40.263143,167106832.000000,12.530711
2458349.868022,40.263526,167106048.000000,12.530225
2458349.887312,40.263909,167105728.000000,12.529736
2458349.906602,40.264291,167105520.000000,12.529246
2458349.925892,40.264672,167105632.000000,12.528754
2458349.945182,40.265053,167103216.000000,12.528279
2458349.964472,40.265432,167102752.000000,12.527790
2458349.983762,40.265810,167101936.000000,12.527304
2458350.003053,40.266188,167101824.000000,12.526814
2458350.022343,40.266565,167099872.000000,12.526335
2458350.041633,40.266940,167099392.000000,12.525846
2458350.060923,40.267315,167098992.000000,12.525357
2458350.080213,40.267689,167098000.000000,12.524872
2458350.099503,40.268062,167097984.000000,12.524381
2458350.118793,40.268434,167098144.000000,12.523888
2458350.138083,40.268806,167096592.000000,12.523406
2458350.157374,40.269176,167095616.000000,12.522921
2458350.176664,40.269545,167095456.000000,12.522430
2458350.195954,40.269914,167093904.000000,12.521948
2458350.215244,40.270282,167094624.000000,12.521451
2458350.234534,40.270649,167093776.000000,12.520964
2458350.253824,40.271014,167094112.000000,12.520470
2458350.273114,40.271379,167090848.000000,12.519999
2458350.292404,40.271744,167091408.000000,12.519503
2458350.311695,40.272107,167089856.000000,12.519021
2458350.330985,40.272469,167090528.000000,12.518524
2458350.350275,40.272831,167089216.000000,12.518040
2458350.369565,40.273191,167087936.000000,12.517556
2458350.388855,40.273551,167087632.000000,12.517066
2458350.408145,40.273909,167086928.000000,12.516578
2458350.427435,40.274267,167086672.000000,12.516087
2458350.446725,40.274624,167087552.000000,12.515588
2458350.466015,40.274980,167086096.000000,12.515105
2458350.485306,40.275335,167084240.000000,12.514624
2458350.504596,40.275690,167084240.000000,12.514131
2458350.523886,40.276043,167082752.000000,12.513648
2458350.543176,40.276395,167084144.000000,12.513146
2458350.562466,40.276747,167082816.000000,12.512662
2458350.581756,40.277098,167080528.000000,12.512183
2458350.601046,40.277447,167079984.000000,12.511694
2458350.620336,40.277796,167080160.000000,12.511199
2458350.639627,40.278144,167079184.000000,12.510712
2458350.658917,40.278491,167080112.000000,12.510213
2458350.678207,40.278837,167078912.000000,12.509728
2458350.697497,40.279183,167077456.000000,12.509244
2458350.716787,40.279527,167076208.000000,12.508758
2458350.736077,40.279870,167075536.000000,12.508269
2458350.755367,40.280213,167075792.000000,12.507774
2458350.774657,40.280555,167075856.000000,12.507280
2458350.793948,40.280895,167074880.000000,12.506792
2458350.813238,40.281235,167073280.000000,12.506309
2458350.832528,40.281574,167072096.000000,12.505823
2458350.851818,40.281912,167071712.000000,12.505331
2458350.871108,40.282249,167072720.000000,12.504831
2458350.890398,40.282586,167072176.000000,12.504341
2458350.909688,40.282921,167071824.000000,12.503849
2458350.928978,40.283256,167069456.000000,12.503370
2458350.948269,40.283589,167069600.000000,12.502875
2458350.967559,40.283922,167068880.000000,12.502385
2458350.986849,40.284254,167070624.000000,12.501880
2458351.006139,40.284584,167068144.000000,12.501402
2458351.025429,40.284914,167066400.000000,12.500919
2458351.044719,40.285243,167065808.000000,12.500428
2458351.064009,40.285572,167064816.000000,12.499940
2458351.083299,40.285899,167065328.000000,12.499442
2458351.102590,40.286225,167065632.000000,12.498946
2458351.121880,40.286551,167065632.000000,12.498451
2458351.141170,40.286875,167063120.000000,12.497972
2458351.160460,40.287199,167062512.000000,12.497482
2458351.179750,40.287522,167061424.000000,12.496994
2458351.199040,40.287843,167062176.000000,12.496494
2458351.218330,40.288164,167062368.000000,12.495998
2458351.237620,40.288484,167060736.000000,12.495514
2458351.256911,40.288804,167058912.000000,12.495030
2458351.276201,40.289122,167058176.000000,12.494540
2458351.295491,40.289439,167058464.000000,12.494043
2458351.314781,40.289756,167060112.000000,12.493537
2458351.334071,40.290071,167058720.000000,12.493051
2458351.353361,40.290386,167057184.000000,12.492566
2458351.372651,40.290699,167055728.000000,12.492080
2458351.391941,40.291012,167054832.000000,12.491590
2458351.411232,40.291324,167054688.000000,12.491095
2458351.430522,40.291635,167056736.000000,12.490587
2458351.449812,40.291945,167055296.000000,12.490100
2458351.469102,40.292254,167053552.000000,12.489616
2458351.488392,40.292563,167051920.000000,12.489131
2458351.507682,40.292870,167051328.000000,12.488639
2458351.526972,40.293177,167052096.000000,12.488138
2458351.546262,40.293482,167052512.000000,12.487640
2458351.565553,40.293787,167051536.000000,12.487150
2458351.584843,40.294091,167049904.000000,12.486665
2458351.604133,40.294393,167048224.000000,12.486179
2458351.623423,40.294695,167048352.000000,12.485682
2458351.642713,40.294996,167049584.000000,12.485178
2458351.662003,40.295297,167048576.000000,12.484689
2458351.681293,40.295596,167046304.000000,12.484207
2458351.700583,40.295894,167046320.000000,12.483711
2458351.719874,40.296192,167044944.000000,12.483223
2458351.739164,40.296488,167045520.000000,12.482723
2458351.758454,40.296784,167046576.000000,12.482220
2458351.777744,40.297078,167045648.000000,12.481729
2458351.797034,40.297372,167044096.000000,12.481243
2458351.816324,40.297665,167043504.000000,12.480750
2458351.835614,40.297957,167042528.000000,12.480259
2458351.854904,40.298248,167042752.000000,12.479761
2458351.874195,40.298538,167043312.000000,12.479261
2458351.893485,40.298828,167042736.000000,12.478768
